Sample_ID	CRT_diag_norm	IRT_diag_norm	RBT_diag_norm	WCT_diag_norm	YCT_diag_norm	CRT_admix	IRT_admix	RBT_admix	WCT_admix	YCT_admix	CRT_ELAI	IRT_ELAI	RBT_ELAI	WCT_ELAI	YCT_ELAI	Mitochondria	RBT_Chr05_norm	WCT_Chr05_norm	YCT_Chr05_norm	RBT_Chr05_1	WCT_Chr05_1	YCT_Chr05_1	RBT_Chr05_2	WCT_Chr05_2	YCT_Chr05_2	Inv1_RBT_RR	Inv2_RBT_RR	RBT_Chr17	WCT_Chr17	YCT_Chr17	RBT_Chr20_norm	WCT_Chr20_norm	YCT_Chr20_norm	RBT_Chr22_norm	WCT_Chr22_norm	YCT_Chr22_norm	RBT_Chr29_norm	WCT_Chr29_norm	YCT_Chr29_norm
Star_11_296	0.0929	0.9041	0.9969	0.0029	0.0002	0.15221	0.84777	0.99998	0.00001	0.00001	0.105209872	0.891410097	0.996619969	0.003380031	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
Star_11_297	0.5778	0.4119	0.9898	0.0060	0.0042	0.687584	0.306725	0.994309	0.003341	0.00235	0.616644807	0.375368312	0.992013119	0.005352798	0.002634083	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_486	0.4060	0.5186	0.9246	0.0750	0.0004	0.485986	0.441385	0.927371	0.072619	0.00001	0.397888795	0.515118857	0.913007652	0.086992348	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.55	0.45	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_487	0.3910	0.4194	0.8104	0.1893	0.0003	0.380039	0.431251	0.81129	0.1887	0.00001	0.314606806	0.468696455	0.783303262	0.216696738	0	WCT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.57	0.54	0.50	0.50	0.00	0.50	0.50	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_488	0.3860	0.5542	0.9403	0.0590	0.0007	0.435689	0.503554	0.939243	0.060748	0.00001	0.374613781	0.547441472	0.922055253	0.077944747	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_489	0.2167	0.6595	0.8763	0.1229	0.0009	0.319557	0.55161	0.871167	0.128823	0.00001	0.270419027	0.581174791	0.851593818	0.148406182	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.49	0.51	0.00	1.00	0.00	0.00	0.00	1.00	0.00
OBrien_11_490	0.2620	0.6875	0.9495	0.0475	0.0030	0.364926	0.582888	0.947814	0.049831	0.002356	0.312247636	0.612844632	0.925092267	0.072161348	0.002746385	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_491	0.2381	0.3829	0.6210	0.3788	0.0002	0.305993	0.313857	0.61985	0.38014	0.00001	0.249849944	0.363153564	0.613003508	0.386996492	0	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.99	0.43	0.57	0.00	0.50	0.50	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_492	0.3509	0.6102	0.9611	0.0377	0.0012	0.42496	0.541835	0.966795	0.033195	0.00001	0.362432422	0.594536001	0.956968422	0.043031578	0	NA	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_493	0.4059	0.5602	0.9661	0.0334	0.0005	0.48735	0.484097	0.971447	0.028543	0.00001	0.413678607	0.551455944	0.965134551	0.034865449	0	WCT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_494	0.3457	0.4526	0.7983	0.2010	0.0007	0.385727	0.411241	0.796968	0.203022	0.00001	0.325835719	0.438268184	0.764103903	0.235896097	0	WCT	0.50	0.50	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.76	0.72	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_495	0.4552	0.4683	0.9236	0.0745	0.0019	0.538435	0.38791	0.926345	0.073645	0.00001	0.470742756	0.447428559	0.918171315	0.081223432	0.000605253	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
OBrien_11_496	0.2083	0.3367	0.5450	0.4546	0.0003	0.220913	0.318679	0.539592	0.460398	0.00001	0.193081909	0.345320831	0.53840274	0.46159726	0	WCT	0.50	0.50	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.74	0.72	1.00	0.00	0.00	0.49	0.51	0.00	0.00	1.00	0.00	1.00	0.00	0.00
OBrien_11_497	0.1629	0.4489	0.6118	0.3879	0.0003	0.198338	0.410874	0.609212	0.390778	0.00001	0.155062579	0.449487752	0.604550331	0.395449669	0	RBT	0.50	0.50	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.76	0.72	1.00	0.00	0.00	0.49	0.51	0.00	0.54	0.46	0.00	0.49	0.51	0.00
OBrien_11_498	0.3487	0.3912	0.7400	0.2596	0.0005	0.316333	0.42495	0.741283	0.258707	0.00001	0.242851333	0.476344372	0.719195705	0.280804295	0	RBT	0.50	0.50	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.74	0.72	0.50	0.50	0.00	1.00	0.00	0.00	0.51	0.49	0.00	0.50	0.50	0.00
OBrien_11_499	0.3133	0.2612	0.5745	0.4241	0.0014	0.395252	0.178924	0.574176	0.425058	0.000766	0.346213837	0.22027472	0.566488557	0.43264255	0.000868893	WCT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.50	0.50	0.00
Porcupine_23_121	0.0355	0.0076	0.0431	0.9564	0.0005	0.041802	0.00001	0.041812	0.958178	0.00001	0.04572597	0.00130902	0.04703499	0.95296501	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_122	0.0000	0.0000	0.0000	0.9997	0.0003	0.002689	0.00001	0.002699	0.99729	0.000012	0.009583603	0.000363802	0.009947405	0.990052595	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_123	0.0110	0.0000	0.0110	0.9888	0.0003	0.007361	0.00001	0.007371	0.992618	0.000012	0.013566649	0	0.013566649	0.986433351	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_124	0.0000	0.0000	0.0000	0.9996	0.0004	0.000011	0.00001	0.000021	0.999968	0.00001	0.005286262	0	0.005286262	0.994713738	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_125	0.0000	0.0000	0.0000	0.9996	0.0004	0.005215	0.00001	0.005225	0.994765	0.00001	0.014154444	0.000983895	0.015138339	0.984861661	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_126	0.0127	0.0018	0.0146	0.9853	0.0001	0.014308	0.00001	0.014318	0.985672	0.00001	0.013900442	0.000359224	0.014259666	0.985740334	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_127	0.0000	0.0000	0.0000	0.9999	0.0001	0.00001	0.00001	0.00002	0.999968	0.000011	8.35E-05	4.79E-05	0.000131395	0.999868605	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_128	0.0000	0.0000	0.0000	0.9997	0.0003	0.000012	0.00001	0.000022	0.999967	0.000011	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_129	0.0000	0.0000	0.0000	0.9998	0.0002	0.000012	0.00001	0.000022	0.999966	0.000012	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_130	0.0000	0.0000	0.0000	1.0000	0.0000	0.000011	0.00001	0.000021	0.999968	0.000011	0	4.56E-07	4.56E-07	0.999999544	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_131	0.0000	0.0000	0.0000	1.0000	0.0000	0.000011	0.00001	0.000021	0.999968	0.000011	0	1.60E-05	1.60E-05	0.999983972	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_132	0.0000	0.0000	0.0000	0.9999	0.0001	0.00001	0.00001	0.00002	0.999969	0.000011	5.87E-06	0.00012689	0.000132765	1.00E+00	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_133	0.0000	0.0000	0.0000	0.9995	0.0005	0.00001	0.00001	0.00002	0.99997	0.00001	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_134	0.0110	0.0000	0.0110	0.9887	0.0003	0.007377	0.00001	0.007387	0.992602	0.000012	0.014609551	0	0.014609551	0.985390449	0.00E+00	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_135	0.0000	0.0000	0.0000	0.9996	0.0004	0.00001	0.00001	0.00002	0.999968	0.000012	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_136	0.0000	0.0000	0.0000	0.9999	0.0001	0.000012	0.00001	0.000022	0.999967	0.000011	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_137	0.0000	0.0000	0.0000	0.9997	0.0003	0.00001	0.00001	0.00002	0.999968	0.000012	0	0	0	1	0	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_138	0.0000	0.0000	0.0000	0.9995	0.0005	0.000011	0.00001	0.000021	0.999968	0.000011	0.001667532	0	0.001667532	9.98E-01	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_139	0.0000	0.0000	0.0000	0.9997	0.0003	0.000011	0.00001	0.000021	0.999969	0.00001	0.00240349	0	0.00240349	0.99759651	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_140	0.0000	0.0000	0.0000	0.9999	0.0001	0.00001	0.00001	0.00002	0.999968	0.000012	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_141	0.0000	0.0000	0.0000	1.0000	0.0000	0.003706	0.001513	0.005219	0.994771	0.00001	0.004469834	0.002558163	0.007027997	0.992972003	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_142	0.0000	0.0000	0.0000	0.9998	0.0002	0.000863	0.00001	0.000873	0.999115	0.000012	0.006567936	0	0.006567936	0.993432064	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_143	0.0000	0.0000	0.0000	0.9999	0.0001	0.000011	0.00001	0.000021	0.999968	0.000012	0	0	0	1	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_144	0.0000	0.0000	0.0000	0.9996	0.0004	0.0061	0.00001	0.00611	0.993877	0.000012	0.011370167	0.00022918	0.011599347	0.988400653	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_145	0.0000	0.0000	0.0000	1.0000	0.0000	0.000011	0.00001	0.000021	0.999969	0.00001	0.002047735	0	0.002047735	0.997952265	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
Porcupine_23_146	0.0000	0.0000	0.0000	0.9994	0.0006	0.000011	0.00001	0.000021	0.999967	0.000012	4.92E-08	3.77E-05	3.78E-05	0.999962234	0	WCT	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	NA	NA	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
YaakRBF_11_265	0.2723	0.7234	0.9957	0.0039	0.0004	0.279618	0.720362	0.99998	0.00001	0.00001	0.213042064	0.784179604	0.997221668	0.002778332	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_282	0.2448	0.7519	0.9967	0.0026	0.0007	0.270715	0.728829	0.999544	0.000447	0.00001	0.224676787	0.773784513	0.9984613	0.001516786	2.19E-05	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.98	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_283	0.0880	0.9087	0.9968	0.0028	0.0004	0.192856	0.806767	0.999623	0.000367	0.00001	0.136817887	0.8606586	0.997476487	0.002523513	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_284	0.1174	0.8797	0.9971	0.0024	0.0004	0.229939	0.770041	0.99998	0.00001	0.00001	0.179213275	0.817916216	0.997129491	0.002870509	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_286	0.1206	0.8770	0.9976	0.0020	0.0005	0.152793	0.847187	0.99998	0.00001	0.00001	0.124381078	0.873660756	0.998041833	0.001958167	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_287	0.1571	0.8347	0.9919	0.0077	0.0005	0.210714	0.785618	0.996332	0.003659	0.00001	0.145951106	0.84714277	0.993093876	0.006906124	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.51	0.51	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_288	0.1627	0.8334	0.9961	0.0035	0.0004	0.181082	0.818898	0.99998	0.00001	0.00001	0.133229819	0.862374782	0.995604601	0.004395399	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_289	0.1148	0.8831	0.9979	0.0012	0.0009	0.173056	0.826922	0.999978	0.00001	0.000012	0.123982459	0.874869994	0.998852453	0.001147547	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
YaakRBF_11_290	0.1417	0.8549	0.9965	0.0030	0.0004	0.228223	0.771757	0.99998	0.00001	0.00001	0.177987789	0.820390687	0.998378476	0.001621524	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_01	0.2369	0.7608	0.9977	0.0021	0.0003	0.236229	0.763751	0.99998	0.00001	0.00001	0.174715446	0.823658639	0.998374085	0.001625915	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_02	0.0667	0.4388	0.5056	0.4941	0.0003	0.214574	0.285563	0.500137	0.499853	0.00001	0.179307393	0.319629947	0.49893734	0.50106266	0	WCT	0.51	0.49	0.00	0.50	0.49	0.01	0.51	0.49	0.00	0.74	0.72	0.52	0.48	0.00	0.50	0.50	0.00	0.51	0.49	0.00	0.50	0.50	0.00
KRBY_22_03	0.6036	0.3917	0.9953	0.0030	0.0016	0.759757	0.240223	0.99998	0.00001	0.00001	0.685631783	0.310739367	0.99637115	0.002519175	0.001109676	RBT	1.00	0.00	0.00	0.99	0.00	0.01	1.00	0.00	0.00	0.99	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_05	0.4271	0.5683	0.9954	0.0038	0.0008	0.534455	0.462961	0.997416	0.002574	0.00001	0.457270861	0.538972398	0.996243259	0.003756741	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.51	0.50	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_06	0.0943	0.4089	0.5032	0.4967	0.0001	0.155435	0.344684	0.500119	0.499871	0.00001	0.125760231	0.374411278	0.500171509	0.499828491	0	WCT	0.50	0.50	0.00	0.50	0.50	0.00	0.50	0.50	0.00	0.75	0.72	0.52	0.48	0.00	0.51	0.49	0.00	0.50	0.50	0.00	0.50	0.50	0.00
KRBY_22_07	0.6778	0.3168	0.9945	0.0038	0.0016	0.743113	0.254547	0.99766	0.00233	0.00001	0.651682393	0.344389218	0.996071611	0.002881657	0.001046732	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.51	0.51	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_08	0.1604	0.8364	0.9968	0.0030	0.0002	0.23336	0.766619	0.999979	0.00001	0.00001	0.18789919	0.810843119	0.998742309	0.001257691	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_09	0.0431	0.9542	0.9974	0.0024	0.0002	0.21794	0.78204	0.99998	0.00001	0.00001	0.161352356	0.836190119	0.997542475	0.002457525	0.00E+00	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KRBY_22_10	0.0928	0.9044	0.9972	0.0024	0.0004	0.222142	0.777838	0.99998	0.00001	0.00001	0.16401259	0.833486293	0.997498883	0.002501117	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.99	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KilbCk_20_01	0.0720	0.9229	0.9949	0.0046	0.0005	0.185167	0.812388	0.997555	0.002435	0.00001	0.145858829	0.850297427	0.996156256	0.003843744	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.99	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KilbCk_20_02	0.1166	0.8803	0.9969	0.0029	0.0002	0.158546	0.841434	0.99998	0.00001	0.00001	0.11533943	0.882694288	0.998033718	0.001966282	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
KilbCk_20_03	0.1236	0.8712	0.9948	0.0049	0.0003	0.175775	0.821534	0.997309	0.002681	0.00001	0.127999496	0.86862284	0.996622336	0.003377664	0	RBT	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
